latitude: 31.888271500080798, longitude: 118.81154977485717, altitude: 0
latitude: 31.88827139787216, longitude: 118.8115497602325, altitude: 0
latitude: 31.888271376413837, longitude: 118.81154976781183, altitude: 0
latitude: 31.888271282140384, longitude: 118.81154991358775, altitude: 0
latitude: 31.888271256412942, longitude: 118.81154993439888, altitude: 0
latitude: 31.888271167547703, longitude: 118.81154990087299, altitude: 0
latitude: 31.888271136446168, longitude: 118.81154991767784, altitude: 0
latitude: 31.888271211138566, longitude: 118.81154988734767, altitude: 0
latitude: 31.88827119061983, longitude: 118.8115499005116, altitude: 0
latitude: 31.888271089317247, longitude: 118.81154987576188, altitude: 0
latitude: 31.888271062133114, longitude: 118.81154988550348, altitude: 0
latitude: 31.888271124350258, longitude: 118.81155002191628, altitude: 0
latitude: 31.88827110602635, longitude: 118.81155004265366, altitude: 0
latitude: 31.88827100288093, longitude: 118.8115500043719, altitude: 0
latitude: 31.888270979351557, longitude: 118.81155002208487, altitude: 0
latitude: 31.88827089435947, longitude: 118.8115499912557, altitude: 0
latitude: 31.888270865625326, longitude: 118.81155000316329, altitude: 0
latitude: 31.88827076518199, longitude: 118.81154997410735, altitude: 0
latitude: 31.88827073098947, longitude: 118.81154998224784, altitude: 0
latitude: 31.88827080503731, longitude: 118.81154996166241, altitude: 0
latitude: 31.88827078054717, longitude: 118.81154996976029, altitude: 0
latitude: 31.888270681726514, longitude: 118.81154995629062, altitude: 0
latitude: 31.888270650632556, longitude: 118.81154996224902, altitude: 0
latitude: 31.888270720425314, longitude: 118.81155011124484, altitude: 0
latitude: 31.888270700264535, longitude: 118.81155012916011, altitude: 0
latitude: 31.88827059619953, longitude: 118.81155009561377, altitude: 0
latitude: 31.88827057114208, longitude: 118.81155011086885, altitude: 0
latitude: 31.888270484004963, longitude: 118.81155008501221, altitude: 0
latitude: 31.888270455190852, longitude: 118.81155009055426, altitude: 0
latitude: 31.888270517964912, longitude: 118.81155006739861, altitude: 0
latitude: 31.88827049514253, longitude: 118.81155007473254, altitude: 0
latitude: 31.88827038178096, longitude: 118.81155004489585, altitude: 0
